smiles,compound_id,MolWt,LogP,NumHDonors,NumHAcceptors
CCN(CC)CCOC(=O)C1(C2CCCCC2)CCCCC1,3042,309.4940000000001,4.402200000000004,0.0,3.0
CN(C)CCCN1c2ccccc2CCc2ccccc21,3696,280.415,3.8750000000000027,0.0,2.0
Cc1cc2c(C(C)C)c(O)c(O)c(C=O)c2c(O)c1-c1c(C)cc2c(C(C)C)c(O)c(O)c(C=O)c2c1O,3503,518.5620000000004,6.382240000000009,6.0,8.0
NNCCc1ccccc1,3675,136.19799999999998,0.6923999999999992,2.0,2.0
CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1OC,4168,299.8020000000001,2.0023999999999997,2.0,4.0
Cc1c(OCC(F)(F)F)ccnc1C[S@](=O)c1nc2ccccc2[nH]1,3883,369.3680000000001,3.515220000000001,1.0,4.0
CC(C)NNC(=O)c1ccncc1,3748,179.223,0.7243999999999996,2.0,3.0
CC(C)NC[C@H](O)c1ccc(O)c(O)c1,3779,211.261,1.1291999999999998,4.0,4.0
CC(C)NC[C@@H](O)c1ccc(O)c(O)c1,3779,211.261,1.1291999999999998,4.0,4.0
NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O,3639,297.74500000000006,-0.35129999999999967,3.0,5.0
O=C1OC(c2ccc(O)cc2)(c2ccc(O)cc2)c2ccccc21,4764,318.32800000000003,3.560100000000002,2.0,4.0
NNC(=O)c1ccncc1,3767,137.142,-0.3149000000000006,2.0,3.0
CN1CCN(CC(=O)N2c3ccccc3C(=O)Nc3cccnc32)CC1,4848,351.41000000000014,1.5593999999999992,1.0,5.0
CN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,4917,373.95300000000015,4.580200000000004,0.0,4.0
Nc1ccc(C(=O)O)c(O)c1,4649,153.137,0.6726000000000001,3.0,3.0
Cc1nc2sccn2c(=O)c1CCN1CCC(=C(c2ccc(F)cc2)c2ccc(F)cc2)CC1,5074,477.58000000000015,5.483020000000005,0.0,5.0
CNCCC=C1c2ccccc2CCc2ccccc21,4543,263.38399999999996,3.826400000000003,1.0,1.0
O=C1CC[C@@H](N2C(=O)c3ccccc3C2=O)C(=O)N1,5426,258.23299999999995,0.08779999999999993,1.0,4.0
O=C1CC[C@H](N2C(=O)c3ccccc3C2=O)C(=O)N1,5426,258.23299999999995,0.08779999999999993,1.0,4.0
Cn1cnc2c1c(=O)[nH]c(=O)n2C,5429,180.16699999999997,-1.0397,1.0,5.0
C[C@@H](CN(C)C)CN1c2ccccc2CCc2ccccc21,5584,294.442,4.121000000000003,0.0,2.0
C[C@H](CN(C)C)CN1c2ccccc2CCc2ccccc21,5584,294.442,4.121000000000003,0.0,2.0
COC(=O)[C@H]1[C@H]2C[C@@H]3c4[nH]c5cc(OC)ccc5c4CCN3C[C@H]2C[C@@H](OC(=O)c2cc(OC)c(OC)c(OC)c2)[C@@H]1OC,5770,608.6880000000004,4.171100000000004,1.0,10.0
CCN(CC)CCNC(=O)c1cc(S(C)(=O)=O)ccc1OC,5467,328.4340000000001,1.1702999999999997,1.0,5.0
CSc1ccc2c(c1)N(CC[C@@H]1CCCCN1C)c1ccccc1S2,5452,370.587,5.885600000000005,0.0,4.0
CSc1ccc2c(c1)N(CC[C@H]1CCCCN1C)c1ccccc1S2,5452,370.587,5.885600000000005,0.0,4.0
O[C@@](CCN1CCCC1)(c1ccccc1)C1CCCCC1,4919,287.4470000000001,3.940400000000003,1.0,2.0
O[C@](CCN1CCCC1)(c1ccccc1)C1CCCCC1,4919,287.4470000000001,3.940400000000003,1.0,2.0
O[C@@](CCN1CCCCC1)(c1ccccc1)C1CCCCC1,5572,301.47400000000016,4.330500000000004,1.0,2.0
O[C@](CCN1CCCCC1)(c1ccccc1)C1CCCCC1,5572,301.47400000000016,4.330500000000004,1.0,2.0
Cc1ccc(S(=O)(=O)NC(=O)NN2CCCCCC2)cc1,5503,311.4070000000001,1.7739199999999995,2.0,4.0
N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O,6305,204.22899999999998,1.1223000000000003,3.0,2.0
N[C@@H]1CONC1=O,6234,102.09299999999999,-1.6249000000000007,2.0,3.0
COc1cc([C@@H]2c3cc4c(cc3[C@H](O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1OC,10607,414.41000000000025,2.4092000000000002,1.0,8.0
OC[C@H]1O[C@@H](O[C@@H]2[C@@H](CO)O[C@](O)(CO)[C@H]2O)[C@H](O)[C@@H](O)[C@H]1O,11333,342.29699999999997,-5.395599999999993,8.0,11.0
CCCN1C[C@H](CSC)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21,47811,314.4980000000001,4.271100000000003,1.0,2.0
Fc1ccc(C(c2ccc(F)cc2)N2CCN(C/C=C/c3ccccc3)CC2)cc1,941361,404.5040000000001,5.3852000000000055,0.0,2.0
CC/C(=C(/CC)c1ccc(O)cc1)c1ccc(O)cc1,448537,268.356,4.828600000000005,2.0,2.0
CN1CCN2c3ccccc3Cc3ccccc3[C@@H]2C1,4184,264.372,3.0839000000000016,0.0,2.0
NC(=O)N1c2ccccc2C=Cc2ccccc21,2554,236.274,3.3872000000000018,1.0,1.0
NC(=O)c1cnccn1,1046,123.11499999999998,-0.4245000000000001,1.0,3.0
CCN(CC)CCNC(=O)c1cc(Br)c(N)cc1OC,2446,344.2530000000001,2.1115,2.0,4.0
CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1,2727,276.745,1.7379,2.0,3.0
C[C@@H](C[N+](C)(C)C)OC(N)=O,2370,161.22499999999997,0.1764,1.0,2.0
C[C@H](C[N+](C)(C)C)OC(N)=O,2370,161.22499999999997,0.1764,1.0,2.0
O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,3559,375.87100000000015,4.425600000000004,1.0,3.0
O=C1NCC2(CCN(CCc3ccccc3)CC2)O1,3344,260.337,1.8034999999999997,1.0,3.0
CC(C)(C)NC[C@H](O)c1cc(Cl)c(N)c(Cl)c1,2783,277.195,2.9971000000000005,3.0,3.0
OC[C@H](O)CN1CCN(c2ccccc2)CC1,3169,236.31500000000003,0.16179999999999972,2.0,4.0
OC[C@@H](O)CN1CCN(c2ccccc2)CC1,3169,236.31500000000003,0.16179999999999972,2.0,4.0
OCCN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,3372,437.5310000000002,4.308100000000003,1.0,5.0
C[C@@H]1Cc2ccccc2N1NC(=O)c1ccc(Cl)c(S(N)(=O)=O)c1,3702,365.84200000000004,2.0834,2.0,4.0
CC(C)[N+](C)(CCC(C(N)=O)(c1ccccc1)c1ccccc1)C(C)C,3775,353.5300000000001,4.111500000000003,1.0,1.0
O=C1Nc2ccc(Cl)cc2C(c2ccccc2Cl)=N[C@@H]1O,3958,321.163,3.1013000000000015,2.0,3.0
CNCCC[C@]12CC[C@H](c3ccccc31)c1ccccc12,4011,277.41100000000006,4.211400000000004,1.0,1.0
CN(C)C(=O)Oc1cccc([N+](C)(C)C)c1,4456,223.29599999999996,1.9437,0.0,2.0
C[C@]12C[C@@H]3C[C@](C)(C1)C[C@@](N)(C3)C2,4054,179.307,2.6941000000000006,1.0,1.0
CC(C)NC[C@H](O)c1cc(O)cc(O)c1,4086,211.261,1.1291999999999998,4.0,4.0
CC(C)NC[C@@H](O)c1cc(O)cc(O)c1,4086,211.261,1.1291999999999998,4.0,4.0
CCN(CCCCOC(=O)c1ccc(OC)c(OC)c1)[C@H](C)Cc1ccc(OC)cc1,4031,429.5570000000002,4.6025000000000045,0.0,6.0
CCN(CCCCOC(=O)c1ccc(OC)c(OC)c1)[C@@H](C)Cc1ccc(OC)cc1,4031,429.5570000000002,4.6025000000000045,0.0,6.0
CCC(=O)C(C[C@@H](C)N(C)C)(c1ccccc1)c1ccccc1,4095,309.45300000000003,4.292000000000004,0.0,2.0
CCC(=O)C(C[C@H](C)N(C)C)(c1ccccc1)c1ccccc1,4095,309.45300000000003,4.292000000000004,0.0,2.0
CC[N@+]1(C)CCC[C@@H](OC(=O)C(O)(c2ccccc2)c2ccccc2)C1,4832,354.4700000000001,3.0946000000000016,1.0,3.0
CC[N@@+]1(C)CCC[C@@H](OC(=O)C(O)(c2ccccc2)c2ccccc2)C1,4832,354.4700000000001,3.0946000000000016,1.0,3.0
CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,4781,308.3810000000001,3.7878000000000025,0.0,2.0
CN1CCCN=C1COC(=O)[C@@](O)(c1ccccc1)C1CCCCC1,4642,344.4550000000002,2.731700000000001,1.0,5.0
CN1CCCN=C1COC(=O)[C@](O)(c1ccccc1)C1CCCCC1,4642,344.4550000000002,2.731700000000001,1.0,5.0
OCCN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,4748,403.9790000000002,3.942700000000003,1.0,5.0
CN(C)C(=O)Oc1ccc[n+](C)c1,4991,181.21499999999997,0.5714999999999999,0.0,2.0
CN(C)CCCN1c2ccccc2Sc2ccc(C(F)(F)F)cc21,5568,352.42500000000007,5.259800000000004,0.0,3.0
CCN1CCC[C@H]1CNC(=O)c1cc(S(N)(=O)=O)ccc1OC,5355,341.4330000000001,0.5567000000000012,2.0,5.0
CCN1CCC[C@@H]1CNC(=O)c1cc(S(N)(=O)=O)ccc1OC,5355,341.4330000000001,0.5567000000000012,2.0,5.0
CCCN(CCC)C(=O)[C@@H](CCC(=O)O)NC(=O)c1ccccc1,4922,334.41600000000005,2.2984,2.0,3.0
CCCN(CCC)C(=O)[C@H](CCC(=O)O)NC(=O)c1ccccc1,4922,334.41600000000005,2.2984,2.0,3.0
CC[C@@H]1C(=O)OC[C@@H]1Cc1cncn1C,5910,208.261,1.1618000000000002,0.0,4.0
N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O,6047,197.18999999999997,0.052200000000000135,4.0,4.0
CC[C@@H](CO)NCCN[C@@H](CC)CO,14052,204.314,-0.292599999999999,4.0,4.0
CO[C@]12C[C@@H](COC(=O)c3cncc(Br)c3)CN(C)[C@@H]1Cc1cn(C)c3cccc2c13,34040,484.39400000000023,3.9109000000000034,0.0,6.0
C/C=C(C(=C/C)/c1ccc(O)cc1)\c1ccc(O)cc1,667476,266.34,4.604600000000004,2.0,2.0
C[C@@H](N)Cc1ccc2c(c1)OCO2,1614,179.21899999999997,1.3050000000000002,1.0,3.0
Cc1cc(O)cc(C)c1Cl,2723,156.61199999999997,2.662440000000001,1.0,1.0
O=C(O)c1ccccc1Nc1cccc(C(F)(F)F)c1,3371,281.23299999999995,4.1472000000000016,2.0,2.0
Cc1cc(-c2ccccc2)nnc1NCCN1CCOCC1,4199,298.39000000000004,2.1961199999999996,1.0,5.0
CCN(CC)[C@H](C)CN1c2ccccc2Sc2ccccc21,3290,312.482,5.019600000000005,0.0,3.0
CCN1CCC[C@H](OC(=O)C(c2ccccc2)c2ccccc2)C1,4839,323.4360000000001,3.8460000000000027,0.0,3.0
CCN1CCC[C@@H](OC(=O)C(c2ccccc2)c2ccccc2)C1,4839,323.4360000000001,3.8460000000000027,0.0,3.0
O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=N[C@@H]1O,4616,286.718,2.4479,2.0,3.0
CN1C(=O)[C@@H](O)N=C(c2ccccc2)c2cc(Cl)ccc21,5391,300.74500000000006,2.4722,1.0,3.0
CC[C@]12CCCN3CCc4c(n(c5ccccc45)C(=O)C1)[C@@H]32,71203,294.3980000000001,3.774600000000003,0.0,3.0
CN(C)CC/C=C1/c2ccccc2COc2ccccc21,667468,279.383,3.9624000000000033,0.0,2.0
CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,4763,232.23899999999995,0.7004,2.0,3.0
O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1,2997,270.71899999999994,3.129500000000001,1.0,2.0
CN1C(=O)CN=C(c2ccccc2F)c2cc([N+](=O)[O-])ccc21,3380,313.28800000000007,2.5477000000000007,0.0,4.0
COc1cc(CCN)cc(OC)c1OC,4076,211.261,1.2136000000000002,1.0,4.0
CCOc1ccccc1OC[C@@H]1CNCCO1,5666,237.29899999999992,1.4525,1.0,4.0
Cl,313,36.461000000000006,0.4218,0.0,0.0
O=S(=O)(O)O,1118,98.07899999999998,-0.6527999999999998,2.0,2.0
Br,260,80.91199999999999,0.5779000000000001,0.0,0.0
N,222,17.031,0.16199999999999998,1.0,1.0
CC(C)NC[C@@H](O)COc1ccc(CC(N)=O)cc1,2249,266.34099999999995,0.45210000000000006,3.0,4.0
CC(C)NC[C@H](O)COc1ccc(CC(N)=O)cc1,2249,266.34099999999995,0.45210000000000006,3.0,4.0
O=C(O)c1cc(-c2ccc(F)cc2F)ccc1O,3059,250.19999999999996,3.035600000000001,2.0,2.0
COc1ccc(CCN(C)CCC[C@](C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,2520,454.6110000000002,5.093080000000005,0.0,6.0
CC[C@@]1(C)CC(=O)NC1=O,3291,141.17,0.4491999999999999,1.0,2.0
CC[C@]1(C)CC(=O)NC1=O,3291,141.17,0.4491999999999999,1.0,2.0
NC(=O)NO,3657,76.05499999999999,-0.9561000000000002,3.0,2.0
NC(N)=NCCN1CCCCCCC1,3518,198.31399999999994,0.5258999999999996,2.0,2.0
[H]/N=c1\nc(N2CCCCC2)cc(N)n1O,4201,209.25300000000001,0.17236999999999986,3.0,6.0
CC(C)Cc1ccc([C@@H](C)C(=O)O)cc1,3672,206.28499999999997,3.073200000000001,1.0,1.0
COC(=O)Nc1nc2ccc(C(=O)c3ccccc3)cc2[nH]1,4030,295.298,2.972200000000001,2.0,4.0
CC(C)NC[C@H](O)COc1cccc2[nH]ccc12,4828,248.32600000000002,1.9055999999999995,3.0,3.0
CC(C)NC[C@@H](O)COc1cccc2[nH]ccc12,4828,248.32600000000002,1.9055999999999995,3.0,3.0
COc1ccc2cc(CCC(C)=O)ccc2c1,4409,228.29099999999997,3.370000000000002,0.0,2.0
COC(=O)[C@H](c1ccccc1Cl)N1CCc2sccc2C1,60606,321.829,3.6739000000000024,0.0,4.0
NC[C@H](O)c1ccc(O)c(O)c1,439260,169.17999999999998,0.08989999999999998,4.0,4.0
O=c1[nH]cnc2[nH]ncc12,135401907,136.114,-0.35380000000000006,2.0,3.0
CN(C)C(=O)C(CCN1CCC(O)(c2ccc(Cl)cc2)CC1)(c1ccccc1)c1ccccc1,3955,477.0480000000002,5.088000000000005,1.0,3.0
COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccccc1[N+](=O)[O-],4485,346.33900000000006,2.1756,1.0,7.0
CC(=O)O,176,60.05200000000001,0.09089999999999993,1.0,1.0
NCCCCCC(=O)O,564,131.175,0.5901000000000001,2.0,2.0
NCCc1cnc[nH]1,774,111.14799999999998,-0.08910000000000035,2.0,2.0
NCCCS(=O)(=O)O,1646,139.176,-0.7769999999999997,2.0,3.0
O=C(O)c1cccnc1,938,123.11099999999998,0.7797999999999999,1.0,2.0
NCCc1ccc(O)c(O)c1,681,153.18099999999998,0.5989999999999998,3.0,3.0
O=C(O)CC(O)(CC(=O)O)C(=O)O,311,192.123,-1.2484999999999995,4.0,4.0
C[N+](C)(C)CC(=O)O,248,118.15599999999998,-0.22280000000000016,1.0,1.0
O,962,18.015,-0.8247,0.0,0.0
O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,1775,252.27300000000002,1.7696,2.0,2.0
CC(=O)NO,1990,75.067,-0.4882999999999999,2.0,2.0
CC[C@@]1(c2ccc(N)cc2)CCC(=O)NC1=O,2145,232.28299999999996,1.3532,2.0,3.0
CC[C@]1(c2ccc(N)cc2)CCC(=O)NC1=O,2145,232.28299999999996,1.3532,2.0,3.0
CC(=O)Nc1nnc(S(N)(=O)=O)s1,1986,222.251,-0.8561000000000003,2.0,6.0
CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1,2157,645.3190000000002,6.936200000000007,0.0,4.0
C=C(CC)C(=O)c1ccc(OCC(=O)O)c(Cl)c1Cl,3278,303.14099999999996,3.6057000000000023,1.0,3.0
Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1,2812,344.845,5.376700000000004,0.0,2.0
NS(=O)(=O)c1cc2c(cc1Cl)NC=NS2(=O)=O,2720,295.72900000000004,0.12990000000000046,2.0,5.0
O=C(O)CCCc1ccc(N(CCCl)CCCl)cc1,2708,304.217,3.377900000000002,1.0,2.0
Cn1cnc([N+](=O)[O-])c1Sc1ncnc2nc[nH]c12,2265,277.269,1.1457999999999997,1.0,8.0
Clc1cccc(Cl)c1NC1=NCCN1,2803,230.09799999999998,2.3644999999999996,2.0,3.0
Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,2662,381.3790000000001,3.5139200000000006,1.0,4.0
CN(C)CCOC(c1ccccc1)c1ccccc1,3100,255.36100000000002,3.3542000000000023,0.0,2.0
CN(C)CCO[C@@H](c1ccc(Cl)cc1)c1ccccn1,2564,290.794,3.4026000000000023,0.0,3.0
CN(C)CCO[C@H](c1ccc(Cl)cc1)c1ccccn1,2564,290.794,3.4026000000000023,0.0,3.0
OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,3365,306.276,0.7357999999999993,1.0,7.0
O=[P@]1(N(CCCl)CCCl)NCCCO1,2907,261.089,1.884,1.0,2.0
O=[P@@]1(N(CCCl)CCCl)NCCCO1,2907,261.089,1.884,1.0,2.0
CC(C)C(=O)Nc1ccc([N+](=O)[O-])c(C(F)(F)F)c1,3397,276.21399999999994,3.2081000000000017,1.0,3.0
NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl,3440,330.749,1.8907,3.0,5.0
NS(=O)(=O)c1cc2c(cc1Cl)N[C@@H]([C@H]1C[C@H]3C=C[C@@H]1C3)NS2(=O)=O,2910,389.8860000000001,1.2295000000000003,3.0,5.0
NS(=O)(=O)c1cc2c(cc1Cl)N[C@@H]([C@H]1C[C@@H]3C=C[C@H]1C3)NS2(=O)=O,2910,389.8860000000001,1.2295000000000003,3.0,5.0
NS(=O)(=O)c1cc2c(cc1Cl)N[C@H]([C@@H]1C[C@@H]3C=C[C@H]1C3)NS2(=O)=O,2910,389.8860000000001,1.2295000000000003,3.0,5.0
OCCN(CCO)c1nc(N2CCCCC2)c2nc(N(CCO)CCO)nc(N3CCCCC3)c2n1,3108,504.6360000000004,-0.017599999999997396,4.0,12.0
NNc1nncc2ccccc12,3637,160.17999999999998,0.9153999999999998,2.0,4.0
O=C(c1ccccc1)c1ccc2n1CC[C@H]2C(=O)O,3826,255.27299999999997,2.291,1.0,3.0
O=C(c1ccccc1)c1ccc2n1CC[C@@H]2C(=O)O,3826,255.27299999999997,2.291,1.0,3.0
O=c1[nH]cc(F)c(=O)[nH]1,3385,130.078,-0.7977000000000001,2.0,2.0
Clc1ccc(CO[C@@H](Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1,3198,381.69000000000005,5.801400000000003,0.0,3.0
Cc1ccc(Cl)c(Nc2ccccc2C(=O)O)c1Cl,4037,296.153,4.743620000000003,2.0,2.0
C[C@@H](C(=O)O)c1cccc(C(=O)c2ccccc2)c1,3825,254.285,3.1057000000000015,1.0,2.0
O=C1c2c(O)ccc(O)c2C(=O)c2c(NCCNCCO)ccc(NCCNCCO)c21,4212,444.4880000000002,-0.13919999999999944,8.0,10.0
Cc1oncc1C(=O)Nc1ccc(C(F)(F)F)cc1,3899,270.21,3.2541200000000012,1.0,3.0
Clc1ccc([C@H](c2ccccc2Cl)C(Cl)Cl)cc1,4211,320.04600000000005,5.929000000000002,0.0,0.0
Clc1ccc([C@@H](c2ccccc2Cl)C(Cl)Cl)cc1,4211,320.04600000000005,5.929000000000002,0.0,0.0
C[C@@H](CCc1ccccc1)NC[C@@H](O)c1ccc(O)c(C(N)=O)c1,3869,328.4120000000001,2.1353999999999997,4.0,4.0
C[C@H](CCc1ccccc1)NC[C@H](O)c1ccc(O)c(C(N)=O)c1,3869,328.4120000000001,2.1353999999999997,4.0,4.0
C[C@H](CCc1ccccc1)NC[C@@H](O)c1ccc(O)c(C(N)=O)c1,3869,328.4120000000001,2.1353999999999997,4.0,4.0
CN1Cc2c(N)cccc2[C@@H](c2ccccc2)C1,4528,238.334,2.8461000000000016,1.0,2.0
CN1Cc2c(N)cccc2[C@H](c2ccccc2)C1,4528,238.334,2.8461000000000016,1.0,2.0
Cc1ncc([N+](=O)[O-])n1CCO,4173,171.15599999999998,0.09201999999999994,1.0,5.0
O=c1[nH]oc2c1CCNC2,3448,140.142,-0.3864000000000001,2.0,3.0
NCc1ccc(S(N)(=O)=O)cc1,3998,186.236,-0.20729999999999998,2.0,3.0
C1CNCCN1,4837,86.138,-0.8208,2.0,2.0
O=C(Nc1ccc([N+](=O)[O-])cc1Cl)c1cc(Cl)ccc1O,4477,327.12300000000005,3.859500000000001,2.0,4.0
CS(=O)(=O)Nc1ccc([N+](=O)[O-])cc1Oc1ccccc1,4495,308.315,2.7586000000000013,1.0,5.0
Cc1ccccc1[C@@H](OCCN(C)C)c1ccccc1,4601,269.388,3.662620000000003,0.0,2.0
Cc1ccccc1[C@H](OCCN(C)C)c1ccccc1,4601,269.388,3.662620000000003,0.0,2.0
CCN(CC)CCNC(=O)c1ccc(N)cc1,4913,235.33100000000002,1.3403999999999996,2.0,3.0
